method,offset,target
$r5 = staticinvoke <com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: com.autostart.AutoStartActivity$IconifiedTextListAdapter access$10(com.autostart.AutoStartActivity)>
$r8 = staticinvoke <com.autostart.AutoStartActivity: android.widget.ListView access$9(com.autostart.AutoStartActivity)>($r2),0,<com.autostart.AutoStartActivity: android.widget.ListView access$9(com.autostart.AutoStartActivity)>
"staticinvoke <com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>($r4, $r5)",0,"<com.autostart.AutoStartActivity: void access$8(com.autostart.AutoStartActivity,com.autostart.AutoStartActivity$IconifiedTextListAdapter)>"
$r7 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>($r6),0,<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>
$r9 = staticinvoke <com.autostart.AutoStartActivity: android.widget.Button access$11(com.autostart.AutoStartActivity)>($r2),0,<android.app.Activity: void <clinit>()>
"specialinvoke $r5.<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>($r2, $r3, $r7)",0,"<com.autostart.AutoStartActivity$IconifiedTextListAdapter: void <init>(com.autostart.AutoStartActivity,android.content.Context,java.util.List)>"
$r1 = virtualinvoke r0.<com.autostart.AutoStartActivity$OnResumeTask: java.lang.Void doInBackground(java.lang.Void[])>($r3),0,<com.autostart.AutoStartActivity$OnResumeTask: java.lang.Void doInBackground(java.lang.Void[])>
$r5 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$3(com.autostart.AutoStartActivity)>($r4),0,<android.app.Activity: void <clinit>()>
staticinvoke <java.util.Collections: void sort(java.util.List)>($r5),0,<java.util.Collections: void sort(java.util.List)>
$r5 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>($r4),0,<com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>
staticinvoke <java.util.Collections: void sort(java.util.List)>($r5),0,<java.util.Collections: void sort(java.util.List)>
$r5 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>($r4),0,<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>
$r5 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>($r4),0,<com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>
$r5 = staticinvoke <com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>($r4),0,<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>
