method,offset,target
<com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>
<java.util.Collections: void sort(java.util.List)>,0,<java.util.Collections: void sort(java.util.List)>
<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: java.util.List access$7(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: java.util.List access$6(com.autostart.AutoStartActivity)>
"<com.autostart.AutoStartActivity: boolean access$5(com.autostart.AutoStartActivity,android.content.pm.ApplicationInfo)>",0,"<com.autostart.AutoStartActivity: boolean access$5(com.autostart.AutoStartActivity,android.content.pm.ApplicationInfo)>"
"<com.autostart.AutoStartActivity$PInfo: void access$6(com.autostart.AutoStartActivity$PInfo,android.content.pm.ApplicationInfo)>",0,"<com.autostart.AutoStartActivity$PInfo: void access$6(com.autostart.AutoStartActivity$PInfo,android.content.pm.ApplicationInfo)>"
"<com.autostart.AutoStartActivity$PInfo: void access$5(com.autostart.AutoStartActivity$PInfo,java.lang.String)>",0,"<com.autostart.AutoStartActivity$PInfo: void access$5(com.autostart.AutoStartActivity$PInfo,java.lang.String)>"
"<com.autostart.AutoStartActivity$PInfo: void access$4(com.autostart.AutoStartActivity$PInfo,java.lang.String)>",0,"<com.autostart.AutoStartActivity$PInfo: void access$4(com.autostart.AutoStartActivity$PInfo,java.lang.String)>"
<com.autostart.AutoStartActivity: android.content.pm.PackageManager access$4(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: android.content.pm.PackageManager access$4(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity: java.util.List access$3(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity: java.util.List access$3(com.autostart.AutoStartActivity)>
<java.util.Collections: void sort(java.util.List)>,0,<java.util.Collections: void <clinit>()>
<com.autostart.AutoStartActivity$PInfo: void <init>(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity$PInfo: void <init>(com.autostart.AutoStartActivity)>
<com.autostart.AutoStartActivity$OnResumeTask: void <init>(com.autostart.AutoStartActivity)>,0,<com.autostart.AutoStartActivity$OnResumeTask: void <init>(com.autostart.AutoStartActivity)>
<android.os.AsyncTask: void <init>()>,0,<android.os.AsyncTask: void <init>()>
<java.util.ArrayList: void <init>()>,0,<java.util.ArrayList: void <init>()>
<java.util.ArrayList: void <init>()>,0,<java.util.ArrayList: void <init>()>
<java.util.ArrayList: boolean add(java.lang.Object)>,0,<java.util.ArrayList: boolean add(java.lang.Object)>
