method,offset,target
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""cosine"", $r5)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""vonHann"", $r6)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""hamming"", $r7)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""blackman"", $r8)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""blackmanHarris"", $r9)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""flatTop"", $r10)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""rectangular"", $r11)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""triangular"", $r12)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
"virtualinvoke $r0.<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>(""welch"", $r13)",0,"<java.util.HashMap: java.lang.Object put(java.lang.Object,java.lang.Object)>"
specialinvoke r0.<android.app.Activity: void onDestroy()>(),0,<android.app.Activity: void onDestroy()>
specialinvoke r0.<android.app.Activity: void onStop()>(),0,<android.app.Activity: void onStop()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void f()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void f()>
$r1 = virtualinvoke r0.<android.app.Activity: android.view.Window getWindow()>(),0,<android.app.Activity: android.view.Window getWindow()>
virtualinvoke r0.<android.app.Activity: void invalidateOptionsMenu()>(),0,<android.app.Activity: void invalidateOptionsMenu()>
specialinvoke r0.<android.app.Activity: void onSaveInstanceState(android.os.Bundle)>($r1),0,<android.app.Activity: void onSaveInstanceState(android.os.Bundle)>
specialinvoke r0.<android.app.Activity: void onPause()>(),0,<android.app.Activity: void onPause()>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void g()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void g()>
"specialinvoke $r4.<android.content.Intent: void <init>(android.content.Context,java.lang.Class)>(r0, class ""Lorg/intoorbit/spectrum/SettingsActivity;"")",0,"<android.content.Intent: void <init>(android.content.Context,java.lang.Class)>"
$z0 = specialinvoke r0.<android.app.Activity: boolean onOptionsItemSelected(android.view.MenuItem)>($r1),0,<android.app.Activity: boolean onOptionsItemSelected(android.view.MenuItem)>
virtualinvoke r0.<android.app.Activity: void startActivity(android.content.Intent)>($r4),0,<android.app.Activity: void startActivity(android.content.Intent)>
specialinvoke r0.<org.intoorbit.spectrum.SpectrumActivity: void f()>(),0,<org.intoorbit.spectrum.SpectrumActivity: void f()>
